system_name...1,district,school_name,fac_schtype,system_name...5,total,out_of_school_suspension_oss,juvenile_court_referral,physical_restraint,corporal_punishment,permanent_expulsion,perc_frl,perc_black,perc_hisp,perc_white,perc_migrant,perc_esol,harsh
Appling County,Appling County,Appling County High School,H,Appling County,970,99,2,0,0,0,90.41,22,12,61,5,1.4,101
Appling County,Appling County,Appling County Elementary School,E,Appling County,551,7,0,2,10,0,90.38,29,22,44,10,13.1,19
Appling County,Appling County,Appling County Middle School,M,Appling County,795,65,1,0,54,0,90.44,24,16,55,6,3.8,120
Appling County,Appling County,Appling County Primary School,E,Appling County,516,1,0,0,47,0,90.31,25,24,45,11,20.3,48
Appling County,Appling County,Altamaha Elementary School,E,Appling County,378,0,0,0,10,0,90.48,10,7,80,2,5,10
Appling County,Appling County,Fourth District Elementary School,E,Appling County,152,0,0,0,35,0,90.13,10,13,74,3,7.9,35
Atkinson County,Atkinson County,Atkinson County High School,H,Atkinson County,478,6,0,0,14,0,80.13,17,37,45,5,2.9,20
Atkinson County,Atkinson County,Atkinson County Middle School,M,Atkinson County,374,8,0,0,0,0,85.56,14,42,42,8,4.5,8
Atkinson County,Atkinson County,Willacoochee Elementary School,E,Atkinson County,162,1,0,0,0,0,90.12,27,27,46,10,9.9,1
Atkinson County,Atkinson County,Pearson Elementary School,E,Atkinson County,569,28,0,0,12,0,85.94,14,45,39,11,23.9,40
Bacon County,Bacon County,Bacon County Primary School,E,Bacon County,468,1,0,0,12,0,86.54,22,15,57,5,8.3,13
Bacon County,Bacon County,Bacon County Middle School,M,Bacon County,494,69,0,0,2,0,68.22,21,15,59,6,1.8,71
Bacon County,Bacon County,Bacon County High School,H,Bacon County,591,50,0,0,4,0,58.04,17,12,67,4,1.2,54
Bacon County,Bacon County,Bacon County Elementary School,E,Bacon County,495,17,0,0,18,0,86.46,22,15,57,5,7.3,35
Baker County,Baker County,Baker County K12 School,K12,Baker County,271,31,0,0,0,0,94.1,60,12,23,2,0,31
Baldwin County,Baldwin County,Oak Hill MS,M,Baldwin County,1162,477,0,0,0,0,92.86,72,3,21,0,0.6,477
Baldwin County,Baldwin County,Baldwin High School,H,Baldwin County,1204,66,0,0,0,0,92.86,72,2,22,0,0.3,66
Baldwin County,Baldwin County,Lakeview Academy,E,Baldwin County,680,121,0,0,0,0,92.79,64,4,26,0,1.9,121
Baldwin County,Baldwin County,Midway Hills Primary,E,Baldwin County,558,28,0,0,0,0,92.83,62,1,31,0,0,28
Baldwin County,Baldwin County,Lakeview Primary,E,Baldwin County,687,68,0,0,0,0,92.87,57,4,30,0,2.8,68
Baldwin County,Baldwin County,Midway Hills Academy,E,Baldwin County,564,136,0,0,0,0,92.73,67,1,27,0,0,136
Banks County,Banks County,Banks County Middle School,M,Banks County,695,67,0,0,0,0,61.01,1,10,86,0,1.7,67
Banks County,Banks County,Banks County Elementary School,E,Banks County,606,0,0,0,0,0,65.68,2,10,82,0,6.1,0
Banks County,Banks County,Banks County High School,H,Banks County,843,45,0,0,0,0,51.01,2,9,87,0,1.5,45
Banks County,Banks County,Banks County Primary School,E,Banks County,594,3,0,0,0,0,60.1,2,7,88,0,3.5,3
Barrow County,Barrow County,Apalachee High School,H,Barrow County,1887,251,2,0,0,0,53.68,15,21,56,0,3.9,253
Barrow County,Barrow County,County Line Elementary School,E,Barrow County,521,11,0,12,0,0,63.34,7,19,61,1,14.2,23
Barrow County,Barrow County,Haymon-Morris Middle School,M,Barrow County,851,44,0,0,0,0,57.23,12,21,57,0,3.5,44
Barrow County,Barrow County,Bear Creek Middle School,M,Barrow County,1975,47,0,0,0,0,57.26,14,20,59,0,3.7,47
Barrow County,Barrow County,Kennedy Elementary School,E,Barrow County,840,23,0,0,0,0,73.1,19,23,46,0,15,23
Barrow County,Barrow County,Bramlett Elementary School,E,Barrow County,662,3,0,2,0,0,44.71,6,15,67,0,12.1,5
Barrow County,Barrow County,Westside Middle School,M,Barrow County,1274,89,0,0,0,0,69.42,14,19,56,0,4.3,89
Barrow County,Barrow County,Bethlehem Elementary School,E,Barrow County,1161,6,0,0,0,0,63.31,9,23,60,0,12.5,6
Barrow County,Barrow County,Russell Middle School,M,Barrow County,978,67,0,0,0,0,61.66,14,17,58,0,2.8,67
Barrow County,Barrow County,Yargo Elementary School,E,Barrow County,806,10,0,1,0,0,61.04,16,18,57,0,14,11
Barrow County,Barrow County,Winder Elementary School,E,Barrow County,622,72,0,0,0,0,78.62,21,18,47,0,11.1,72
Barrow County,Barrow County,Auburn Elementary School,E,Barrow County,630,27,0,27,0,0,80,6,19,60,0,12.9,54
Barrow County,Barrow County,Winder-Barrow High School,H,Barrow County,2075,133,5,0,0,1,50.46,14,18,57,0,2.4,139
Barrow County,Barrow County,Holsenbeck Elementary School,E,Barrow County,698,14,0,0,0,0,71.49,9,20,61,0,14,14
Barrow County,Barrow County,Statham Elementary School,E,Barrow County,745,6,0,0,0,0,69.8,15,17,58,0,11.3,6
Bartow County,Bartow County,Woodland Middle School at Euharlee,M,Bartow County,717,109,0,0,0,0,52.3,8,8,79,0,0.7,109
Bartow County,Bartow County,Clear Creek Elementary School,E,Bartow County,572,18,0,0,0,0,51.57,2,7,84,0,3.3,18
Bartow County,Bartow County,Adairsville High School,H,Bartow County,977,81,5,0,0,0,43.3,7,7,82,0,1.1,86
Bartow County,Bartow County,Pine Log Elementary,E,Bartow County,367,3,0,0,0,0,58.31,1,6,89,0,3.5,3
Bartow County,Bartow County,Euharlee Elementary School,E,Bartow County,416,20,0,0,0,0,50.72,10,9,76,0,2.6,20
Bartow County,Bartow County,Cass High School,H,Bartow County,1518,119,0,0,0,0,51.38,16,17,61,0,2.9,119
